CustomerID,Name,Email,Region,LoyaltyTier
C0001,Paul Nguyen,jenniferclark@yahoo.com,West,Silver
C0002,Courtney Rivera,hollyhodge@hotmail.com,North,Gold
C0003,Harold Moore,tgray@gmail.com,South,Silver
C0004,Kathleen Pratt,whess@bailey.org,South,Silver
C0005,Matthew Schwartz,coxjack@holt.info,South,Platinum
C0006,Richard Smith,kenneth01@gmail.com,South,Gold
C0007,Diane Berry,gerald91@campbell.net,East,Bronze
C0008,Mike Williams,ahernandez@yahoo.com,North,Gold
C0009,Tina Anderson,rjames@russell-watson.net,South,Gold
C0010,Alexa Lewis,ortiztamara@franklin.net,West,Gold
C0011,Robert Park,cooperlaura@yahoo.com,East,Silver
C0012,Anita Atkinson,rnash@yahoo.com,North,Platinum
C0013,Ronnie Garcia,christina25@miller-park.biz,East,Gold
C0014,Adrian Boyer,brian13@nichols.com,East,Platinum
C0015,Shane Davila,guerrerojohn@glenn.com,North,Bronze
C0016,Austin Blankenship,heather70@yahoo.com,West,Silver
C0017,Tina Rios,michellewelch@phillips-combs.com,East,Platinum
C0018,Derek Roach,ajohnson@lewis-benson.com,South,Platinum
C0019,Scott Sandoval,pricerobyn@yahoo.com,West,Silver
C0020,Nicole Garcia,ruizdaniel@henderson.com,West,Gold
C0021,Lawrence Powers,browneric@gmail.com,East,Gold
C0022,Bryan Stevens,amandajones@smith.info,North,Gold
C0023,Kimberly Martinez,amandamendoza@jones-munoz.info,East,Silver
C0024,Zachary Holt,christinamalone@hotmail.com,West,Gold
C0025,Tracey Bass,edwardsamy@griffin-watson.com,North,Bronze
C0026,Brooke Fisher,qramirez@gmail.com,West,Platinum
C0027,Tara Figueroa,danielmendez@gmail.com,North,Bronze
C0028,Jennifer Gould,kaitlyncox@aguilar.com,South,Bronze
C0029,Kristina Anderson,ashlee85@gonzales.net,West,Silver
C0030,Julia Frederick,michaelbenson@jones.com,North,Bronze
C0031,Blake Patel,ccardenas@taylor.com,South,Gold
C0032,Sara Campbell,shannon43@gmail.com,North,Gold
C0033,Keith Stark,bethanybrown@murray.com,South,Silver
C0034,Ms. Alexis Yang MD,bradleydylan@gmail.com,South,Bronze
C0035,Jason Henderson,ricemarc@yahoo.com,East,Platinum
C0036,Anthony Osborne,adkinsvanessa@gmail.com,West,Gold
C0037,George Martin,tbailey@yahoo.com,North,Bronze
C0038,William Contreras,qgross@tanner.org,North,Bronze
C0039,Juan Ruiz,daniel62@meza.com,East,Platinum
C0040,Mark Sanchez,edwardjohnson@hotmail.com,North,Bronze
C0041,Brent James,amanda97@baker.com,South,Silver
C0042,Patrick Doyle,murraykyle@vazquez.com,East,Silver
C0043,Carrie Brown,zwells@berger.net,North,Platinum
C0044,Anna Meyer,masonjoseph@campbell.com,South,Silver
C0045,Colleen Gilbert,timothyrivera@yahoo.com,West,Bronze
C0046,Michael Cannon,sarahdavis@yahoo.com,South,Bronze
C0047,Shelley Hernandez,alexanderfloyd@burgess-martinez.com,West,Gold
C0048,Renee Carroll,joshua37@hotmail.com,South,Platinum
C0049,Laura Osborne,derektyler@hernandez.com,West,Silver
C0050,Renee Solis,clementslinda@cain.info,South,Bronze
C0051,Joshua Hill,zdavis@gmail.com,West,Bronze
C0052,Christian Hughes,jamesyoung@yahoo.com,East,Bronze
C0053,William Lopez,alyssa20@thomas.info,South,Silver
C0054,Michael Freeman,nathan05@hotmail.com,North,Bronze
C0055,Shelby Roman,natalie20@gmail.com,North,Platinum
C0056,Ana Bentley,jeffrey78@murphy.org,North,Platinum
C0057,Devin Perez,jason93@barron.org,North,Gold
C0058,Erik Gonzales,lisa42@gmail.com,East,Platinum
C0059,Matthew Carroll,dthomas@parker.com,East,Bronze
C0060,Mary Villarreal,vrush@davis.com,East,Bronze
C0061,Greg Warner,knavarro@gmail.com,East,Bronze
C0062,Roy Carlson,ronald29@gmail.com,North,Bronze
C0063,John Williamson,olivia56@yahoo.com,North,Gold
C0064,Kevin Lutz,salvarez@gmail.com,West,Platinum
C0065,Kylie Gonzalez,csavage@holmes-clark.com,South,Gold
C0066,Mary Short,kelsey33@yahoo.com,South,Platinum
C0067,John Mcdonald,kristine54@montgomery.com,South,Gold
C0068,Nancy Duffy,janetballard@jones.com,East,Bronze
C0069,Jennifer Smith,sarah73@wood.org,West,Platinum
C0070,Paul Pena DVM,hardytravis@henry.com,South,Gold
C0071,Jennifer Hansen,rodriguezchristine@dennis-gray.com,South,Gold
C0072,Juan Butler,esmith@gmail.com,North,Silver
C0073,Jason Morales,travis05@yahoo.com,North,Silver
C0074,Ryan Garcia,patricia00@gmail.com,South,Platinum
C0075,Susan Gutierrez,millertamara@hernandez.info,West,Bronze
C0076,Phillip Lam,teresastephens@hotmail.com,North,Platinum
C0077,Tamara Russell,upham@gmail.com,West,Gold
C0078,Andrew Lee,aguilarcheryl@wagner-smith.com,West,Bronze
C0079,Jennifer Gonzalez,mariasnow@chaney-pearson.biz,South,Gold
C0080,Joseph Kim,eramirez@miller-herring.com,South,Silver
C0081,Anna Brown,catherineevans@hotmail.com,East,Platinum
C0082,Martin Smith,tracyhess@lee.org,West,Platinum
C0083,Michael Stephens,travismorgan@gmail.com,East,Bronze
C0084,Denise Riley,bennettwayne@long.com,East,Bronze
C0085,Judy Eaton,gcummings@yahoo.com,East,Platinum
C0086,Emily Burke,lauren46@house-wallace.com,North,Platinum
C0087,Robert Dawson,amandareid@yahoo.com,East,Silver
C0088,Richard Daniels,kathleentaylor@morris.com,South,Silver
C0089,Vanessa Burke,mark47@hotmail.com,West,Platinum
C0090,Douglas Barnes,qwatts@hotmail.com,East,Silver
C0091,Carla Martin,gvelasquez@young.org,West,Bronze
C0092,Lindsey Davis,paulbaker@yahoo.com,East,Platinum
C0093,Jamie Cox,huntermichael@thornton-martin.com,North,Platinum
C0094,Maurice Campbell,allenharris@hotmail.com,South,Bronze
C0095,Kathryn Dodson,tara83@hawkins.com,West,Bronze
C0096,Theodore Campbell,rmitchell@rodriguez-mitchell.com,East,Bronze
C0097,Sandra Padilla,ycampos@hotmail.com,North,Bronze
C0098,Shane Thomas,griffinronald@hotmail.com,East,Silver
C0099,Joseph Garcia,klinejessica@hotmail.com,East,Bronze
C0100,Jennifer Mcknight,antonio19@gmail.com,South,Gold
C0101,Gabriel Simpson,vjimenez@gmail.com,East,Gold
C0102,Mr. Russell Moore,mgriffith@green.com,East,Platinum
C0103,Elizabeth Wolf,riverajohn@walsh.com,West,Silver
C0104,Kelli Palmer,johnramirez@yahoo.com,North,Silver
C0105,Terry Robles,barbaracohen@cain.com,West,Bronze
C0106,Jasmine Wallace,vcunningham@hotmail.com,West,Gold
C0107,Lindsey Holt,mguerra@gray.com,North,Bronze
C0108,Stephanie Collins,grossmichelle@walters-burke.info,West,Platinum
C0109,Kim Fowler,victoriavazquez@gould.info,East,Gold
C0110,David Mcdaniel,choistephen@yahoo.com,East,Bronze
C0111,Dwayne Martinez,kellyprice@gmail.com,East,Platinum
C0112,William Owens,april12@gmail.com,North,Silver
C0113,Amanda Bonilla,jamesburton@richard.org,East,Bronze
C0114,Jonathan Cooke,coxmichael@williams.com,North,Bronze
C0115,David Buckley,patriciaferguson@yates.com,West,Platinum
C0116,Nicholas Brennan,brenda06@dodson-newman.org,North,Platinum
C0117,Hannah Brown,noahweaver@warner.info,North,Platinum
C0118,Sarah Blankenship,jennifer86@harrison.biz,North,Silver
C0119,Brandon Maxwell,jamesrussell@burke.com,North,Bronze
C0120,Tracy Jacobs,stevensamber@hotmail.com,North,Silver
C0121,Kathy Santana,johnanderson@johnson.net,West,Silver
C0122,Shane Aguilar,ogriffin@terry.biz,South,Bronze
C0123,Carlos Chapman,anngarcia@yahoo.com,North,Platinum
C0124,Lori Terrell,zrobbins@gardner.com,South,Bronze
C0125,William Ortiz,andersonjason@yahoo.com,South,Gold
C0126,Robert Meyer,sarasalazar@anderson.com,West,Platinum
C0127,Courtney Torres,johnmckenzie@caldwell.org,East,Platinum
C0128,Joshua Robinson,ryanstewart@wright.com,East,Bronze
C0129,Catherine Vargas,rebekahrobinson@gmail.com,North,Bronze
C0130,Amber Hernandez,millerelizabeth@hotmail.com,North,Gold
C0131,Jennifer Gutierrez,shelly87@gmail.com,East,Silver
C0132,Amber Nelson,bparker@yahoo.com,West,Bronze
C0133,Jenna Pitts,aaronandrews@hotmail.com,West,Silver
C0134,Gary Mayer,linda51@wilson.com,East,Bronze
C0135,Daniel Owens,jonathan75@hotmail.com,North,Platinum
C0136,Aaron Thornton,taylorbrown@yahoo.com,East,Silver
C0137,Zachary Matthews,dominique21@perry-simon.com,East,Silver
C0138,Matthew Perry,eric30@gmail.com,East,Bronze
C0139,Tonya Valentine,shawn57@gmail.com,North,Gold
C0140,Elizabeth Fowler,reyesdalton@gmail.com,West,Gold
C0141,Taylor Gutierrez,clifford43@hotmail.com,East,Platinum
C0142,Dennis Martinez,shawmichael@elliott-williams.com,West,Silver
C0143,Sharon Barker,buckmark@yahoo.com,East,Silver
C0144,Kimberly Hill,walkerlisa@yahoo.com,South,Silver
C0145,Jeffrey Larson,dannyharrison@young.com,North,Platinum
C0146,Gregory Ashley,davidreed@castaneda.org,East,Silver
C0147,Beth Mejia,simmonskaren@hotmail.com,North,Bronze
C0148,Adrian Murray,james48@gmail.com,West,Gold
C0149,Shane Williams,garrettkyle@yahoo.com,West,Bronze
C0150,Sarah Smith,aaronrobles@bartlett.com,South,Gold
C0151,Desiree Christensen,millerthomas@jackson.info,North,Gold
C0152,Kelly Santana,smithmelanie@hotmail.com,South,Silver
C0153,Sarah Smith,mrich@gmail.com,East,Platinum
C0154,Michael Moore,dschroeder@velazquez.org,West,Gold
C0155,Micheal Riley,richardswanson@yahoo.com,South,Bronze
C0156,Madison Middleton,hansonscott@patterson-brennan.info,West,Gold
C0157,Jesse Tanner,jessicarandall@lewis.com,West,Gold
C0158,Jennifer Brown,anne26@hotmail.com,East,Silver
C0159,Jordan Ramirez,jhughes@yahoo.com,South,Bronze
C0160,Charles Morrison,hebertkevin@hotmail.com,West,Gold
C0161,William Ramirez,smurray@welch-waters.com,East,Bronze
C0162,Michelle Bryant,pagecarrie@ramirez.biz,West,Bronze
C0163,Brian Rivas,monicagross@gmail.com,East,Gold
C0164,Matthew Bass,carlsondouglas@gonzales.com,North,Bronze
C0165,Dr. Matthew Jones MD,robinsonrichard@griffin.org,South,Platinum
C0166,Devin Clark,wellsandrea@hotmail.com,North,Silver
C0167,Crystal Watkins,murrayzachary@gmail.com,East,Platinum
C0168,Julie Johnson,hmccoy@williams-hopkins.biz,South,Bronze
C0169,Alexandra Smith,enguyen@yahoo.com,North,Platinum
C0170,Brian Kane,yurandall@martinez.net,North,Platinum
C0171,Katie Peterson,lpowell@yahoo.com,West,Gold
C0172,Jeremy Bowen,kleon@riddle.com,West,Platinum
C0173,Michael Choi,jason77@hotmail.com,North,Bronze
C0174,Brianna Simpson,heather62@knox.org,South,Bronze
C0175,Ashley Cook,bryan41@yahoo.com,East,Bronze
C0176,Eric Robinson,bcarter@stout.com,East,Gold
C0177,Robert Wright,michael27@hotmail.com,East,Platinum
C0178,Valerie Brooks,ijones@gmail.com,East,Platinum
C0179,Patrick Douglas,beckybaldwin@brady-hill.net,South,Silver
C0180,Lauren Williams,ulambert@hotmail.com,East,Silver
C0181,Mario Hall,ian12@gmail.com,East,Platinum
C0182,Maurice Ramirez,ryanshaw@gay.com,South,Platinum
C0183,Ashley Oconnell,murrayjeremy@henry.com,West,Bronze
C0184,Eric Wilson,lesliechristensen@hotmail.com,North,Platinum
C0185,Richard Watson,nathan01@hotmail.com,East,Silver
C0186,Daniel Dyer,christopherpatrick@morrison.com,East,Silver
C0187,Mark Young,chamilton@gmail.com,North,Platinum
C0188,Miss Sarah Jones,kevin08@jones.com,East,Bronze
C0189,Mia Cook,amanda14@gmail.com,East,Bronze
C0190,Richard White,mwilson@gmail.com,South,Platinum
C0191,Derek Byrd,maureenhines@williams.com,North,Bronze
C0192,Sean Perez,johntaylor@scott.com,North,Gold
C0193,Sally Mccarty,swatts@russell.net,West,Platinum
C0194,Andrew Walker,leslie90@gmail.com,East,Bronze
C0195,Melissa Rodriguez,gchavez@hotmail.com,East,Silver
C0196,Stacy Richards,bcurtis@yahoo.com,North,Gold
C0197,Jason Cox,stephen13@yahoo.com,East,Bronze
C0198,Alexander Parker,lauradavis@patterson.org,East,Platinum
C0199,Kayla Williams,imcbride@yahoo.com,South,Bronze
C0200,April Savage,ballbrian@pearson.info,East,Platinum
C0201,David Cooper,melanie30@watkins.info,South,Platinum
C0202,Ana Miller,jason61@green.com,West,Bronze
C0203,Crystal Harris,woodanne@brown.info,West,Silver
C0204,Bradley Austin,kalexander@gmail.com,South,Gold
C0205,Destiny Allison,morrissandra@sanchez-martinez.info,North,Platinum
C0206,Brittany Vasquez,cparker@gmail.com,North,Bronze
C0207,Lauren Christian,xmoore@hotmail.com,East,Gold
C0208,Charles Gregory,vargasgerald@dunn.net,North,Platinum
C0209,Peter Dominguez,longjulie@kelly.com,South,Platinum
C0210,Mercedes Montes,cshaw@barnes.biz,North,Bronze
C0211,James Jacobs,kingdouglas@hughes-taylor.com,West,Silver
C0212,Ryan Perez,howardpotts@yahoo.com,North,Bronze
C0213,Miguel Herrera,smithmichael@smith.biz,South,Bronze
C0214,Isaac Sweeney,colonrobin@simon-carter.com,West,Gold
C0215,Dawn Contreras,malonedebra@gmail.com,South,Silver
C0216,Kristina Berry,thomas35@gmail.com,South,Silver
C0217,Ariel Johnson,allenthomas@ellis.com,South,Bronze
C0218,Catherine Wilson,holmesscott@hotmail.com,South,Gold
C0219,Martha Barron,whitejoshua@hotmail.com,West,Platinum
C0220,Stephen Butler,darlenebrady@young.com,West,Silver
C0221,Shannon Green,ashlee16@hotmail.com,East,Bronze
C0222,Jerome Walsh MD,brooksjennifer@gmail.com,South,Gold
C0223,Anthony Singleton,catherinerobertson@gmail.com,West,Bronze
C0224,William Davis,curtissanchez@gonzalez-schultz.com,West,Silver
C0225,Brian Valdez,bryan00@gmail.com,West,Bronze
C0226,Edward Moore,leroy41@hotmail.com,East,Bronze
C0227,John Walker,vbarr@yahoo.com,South,Gold
C0228,Lori Proctor,michelleyoung@yahoo.com,South,Platinum
C0229,Mary Tran,kristen81@gmail.com,West,Silver
C0230,Judith Gibson,nicholas45@gutierrez-kim.net,South,Silver
C0231,Anita Lee,ggriffith@hotmail.com,East,Platinum
C0232,Cheryl Harmon,jamesrivera@yahoo.com,South,Platinum
C0233,Dalton Fuller,adamsjacqueline@yahoo.com,East,Silver
C0234,Amber Powers,thomas31@yahoo.com,North,Gold
C0235,Stephanie Mcclain,michaelsmith@yahoo.com,South,Bronze
C0236,Dustin Barnes,ogonzalez@hotmail.com,East,Silver
C0237,Nicole Wilson,dsimmons@garrison.com,North,Platinum
C0238,Stephanie Marshall,xgrant@yahoo.com,South,Platinum
C0239,Michael Patel,jasonmyers@yahoo.com,East,Bronze
C0240,Jennifer Patel,sbennett@barnes.org,East,Platinum
C0241,Christina Trevino,joseph29@gmail.com,North,Gold
C0242,Grace Lopez,thomasnicole@yahoo.com,South,Gold
C0243,Fernando Robinson,wstafford@andrews.com,North,Gold
C0244,Andrew Lewis,cdavis@hale.org,South,Gold
C0245,Bobby Walker,hollandwilliam@bennett-berry.com,South,Bronze
C0246,Bobby Stanley,lee70@horn-santos.com,East,Gold
C0247,Robert Richard,bmyers@bell-walsh.org,West,Platinum
C0248,Shawn Russell,kellyvargas@hotmail.com,South,Platinum
C0249,Shari Ellis,zjensen@williams.org,East,Silver
C0250,Anthony Davis,amyfoster@crane-wilson.org,West,Silver
C0251,Ryan Graham,humphreyjessica@warren.com,West,Gold
C0252,Tyler King,stephanie86@hall.com,West,Silver
C0253,Megan Colon,wgreen@boyle.com,South,Bronze
C0254,Eric Lee DVM,roberthall@miller.com,West,Bronze
C0255,Robert Miller,crystal91@gmail.com,South,Silver
C0256,Joseph Martinez,charlesshaffer@yahoo.com,North,Silver
C0257,Joseph Diaz,pooleamanda@garcia.org,East,Bronze
C0258,Denise Reyes,john00@hotmail.com,North,Bronze
C0259,Timothy Williamson,vgrant@king.com,South,Silver
C0260,Ronald Frederick,katelyn18@kelley.org,North,Bronze
C0261,Cathy Sexton,maryhawkins@doyle-webb.net,North,Platinum
C0262,Timothy Hanson,hwagner@gmail.com,East,Silver
C0263,Anna Kaufman,garciaannette@howell-smith.biz,East,Bronze
C0264,Thomas Sanchez,john63@hotmail.com,South,Gold
C0265,Christine Bush,ralph90@miller.info,West,Gold
C0266,Ashley Woods,jody05@hotmail.com,East,Bronze
C0267,Matthew Thompson,ybaker@gmail.com,South,Silver
C0268,Abigail Thomas,troy25@salas.com,South,Silver
C0269,Thomas Farrell,davidcarpenter@lloyd-hernandez.com,South,Silver
C0270,Jason Hamilton,david15@pham.info,South,Bronze
C0271,Maria Martin,jtaylor@hotmail.com,West,Silver
C0272,Heather Powers,eelliott@gmail.com,East,Platinum
C0273,Miss Samantha Smith,stephenhenderson@cooper.com,North,Gold
C0274,Joe Becker,fpennington@yahoo.com,South,Bronze
C0275,Cody Perry,mccoyamanda@clark.net,South,Platinum
C0276,Regina Lee,shawnmiller@hayden.com,North,Gold
C0277,Victoria Morales,jbennett@levine.biz,West,Silver
C0278,Vincent York,hwatts@rivera-watts.org,West,Silver
C0279,Glenn Kent,kathyhuffman@hotmail.com,North,Silver
C0280,Tanya Savage,alex12@neal-parker.com,North,Platinum
C0281,David Phillips,jenkinsjonathan@ibarra.org,South,Silver
C0282,Lance Kelly,sheltonkenneth@gmail.com,West,Bronze
C0283,Mary Smith,edwardsjoshua@shepherd.com,North,Silver
C0284,Thomas Wilkins,wesley04@gmail.com,West,Bronze
C0285,Jeffrey Campos,anitaross@parker-reilly.com,East,Bronze
C0286,Miss Kim Kelley,douglasjohnson@gmail.com,South,Bronze
C0287,Belinda Braun,mcox@smith.com,West,Gold
